id_word,sentence,"crop","word","tag","code","pos"
5,14,"Tomate","Desde","B-aft",NULL,"sp000"
6,14,"Tomate","3a","B-phe","63","np00000"
7,14,"Tomate","inflorescencia","I-phe","63","nc0s000"
8,14,"Tomate",":","I-phe","63","fd"
9,14,"Tomate","1a","I-phe","63","np00000"
10,14,"Tomate","flor","I-phe","63","nc0s000"
11,14,"Tomate","abierta","I-phe","63","aq0000"
12,14,"Tomate","hasta","B-bef",NULL,"rg"
13,14,"Tomate","que","O",NULL,"cs"
14,14,"Tomate","el","O",NULL,"da0000"
15,14,"Tomate","70","B-phe","87","z0"
16,14,"Tomate","%","I-phe","87","ft"
17,14,"Tomate","de","I-phe","87","sp000"
18,14,"Tomate","los","I-phe","87","da0000"
19,14,"Tomate","frutos","I-phe","87","nc0p000"
20,14,"Tomate","muestra","I-phe","87","vmip000"
21,14,"Tomate","el","I-phe","87","da0000"
22,14,"Tomate","color","I-phe","87","nc0s000"
23,14,"Tomate","típico","I-phe","87","aq0000"
24,14,"Tomate","de","I-phe","87","sp000"
25,14,"Tomate","madurez","I-phe","87","nc0s000"
137,264,"Maíz","Únicamente","O",NULL,"rg"
138,264,"Maíz","se","O",NULL,"p0000000"
139,264,"Maíz","podrá","O",NULL,"vmif000"
140,264,"Maíz","emplear","O",NULL,"vmn0000"
141,264,"Maíz","en","B-dur",NULL,"sp000"
142,264,"Maíz","preemergencia","B-phe",NULL,"nc0s000"
143,264,"Maíz","del","O",NULL,"sp000"
144,264,"Maíz","cultivo","O",NULL,"nc0s000"
181,279,"Trigo","Aplicar","O",NULL,"vmn0000"
182,279,"Trigo","desde","B-aft",NULL,"sp000"
183,279,"Trigo","que","O",NULL,"cs"
184,279,"Trigo","el","O",NULL,"da0000"
185,279,"Trigo","cultivo","O",NULL,"nc0s000"
186,279,"Trigo","tiene","O",NULL,"vmip000"
187,279,"Trigo","3","B-phe","13","z0"
188,279,"Trigo","hojas","I-phe","13","nc0p000"
189,279,"Trigo","desplegadas","I-phe","13","aq0000"
190,279,"Trigo","hasta","B-bef",NULL,"sp000"
191,279,"Trigo","hoja","B-phe","37","nc0s000"
192,279,"Trigo","bandera","I-phe","37","nc0s000"
193,285,"Manzano","Aplicación","O",NULL,"nc0s000"
194,285,"Manzano","antes","B-bef",NULL,"rg"
195,285,"Manzano","del","O",NULL,"sp000"
196,285,"Manzano","inicio","B-phe","-1","nc0s000"
197,285,"Manzano","de","I-phe","-1","sp000"
198,285,"Manzano","la","I-phe","-1","da0000"
199,285,"Manzano","primera","I-phe","-1","ao0000"
200,285,"Manzano","generación","I-phe","-1","nc0s000"
201,285,"Manzano","ó","B-xor",NULL,"cc"
202,285,"Manzano","antes","B-bef",NULL,"rg"
203,285,"Manzano","de","O",NULL,"sp000"
204,285,"Manzano","la","O",NULL,"da0000"
205,285,"Manzano","emergencia","B-phe","-1","nc0s000"
206,285,"Manzano","del","I-phe","-1","sp000"
207,285,"Manzano","primer","I-phe","-1","ao0000"
208,285,"Manzano","adulto","I-phe","-1","nc0s000"
209,285,"Manzano","en","I-phe","-1","sp000"
210,285,"Manzano","cualquier","I-phe","-1","di0000"
211,285,"Manzano","otra","I-phe","-1","di0000"
212,285,"Manzano","generación","I-phe","-1","nc0s000"
240,301,"Frutales de hueso","Aplicar","O",NULL,"vmn0000"
241,301,"Frutales de hueso","antes","B-bef",NULL,"rg"
242,301,"Frutales de hueso","del","O",NULL,"sp000"
243,301,"Frutales de hueso","final","B-phe","69","nc0s000"
244,301,"Frutales de hueso","de","I-phe","69","sp000"
245,301,"Frutales de hueso","la","I-phe","69","da0000"
246,301,"Frutales de hueso","floración","I-phe","69","nc0s000"
283,371,"Patata","Aplicación","O",NULL,"nc0s000"
284,371,"Patata","al","O",NULL,"sp000"
285,371,"Patata","aire","B-pla",NULL,"nc0s000"
286,371,"Patata","libre","I-pla",NULL,"aq0000"
287,371,"Patata","desde","B-aft",NULL,"sp000"
288,371,"Patata","el","O",NULL,"da0000"
289,371,"Patata","comienzo","B-phe",NULL,"nc0s000"
290,371,"Patata","de","I-phe",NULL,"sp000"
291,371,"Patata","la","I-phe",NULL,"da0000"
292,371,"Patata","cobertura","I-phe",NULL,"nc0s000"
293,371,"Patata","del","I-phe",NULL,"sp000"
294,371,"Patata","cultivo","I-phe",NULL,"nc0s000"
295,371,"Patata","(","O",NULL,"nc0s000"
296,371,"Patata","10","B-phe",NULL,"z0"
297,371,"Patata","%","I-phe",NULL,"nc0s000"
298,371,"Patata","de","I-phe",NULL,"sp000"
299,371,"Patata","las","I-phe",NULL,"da0000"
300,371,"Patata","plantas","I-phe",NULL,"nc0p000"
301,371,"Patata","se","I-phe",NULL,"p0000000"
302,371,"Patata","tocan","I-phe",NULL,"vmip000"
303,371,"Patata","entre","I-phe",NULL,"sp000"
304,371,"Patata","las","I-phe",NULL,"da0000"
305,371,"Patata","hileras","I-phe",NULL,"nc0p000"
306,371,"Patata",")","O",NULL,"nc0s000"
307,371,"Patata","hasta","B-bef",NULL,"sp000"
308,371,"Patata","el","O",NULL,"da0000"
309,371,"Patata","comienzo","B-phe",NULL,"nc0s000"
310,371,"Patata","del","I-phe",NULL,"sp000"
311,371,"Patata","amarilleamiento","I-phe",NULL,"nc0s000"
312,371,"Patata","de","I-phe",NULL,"sp000"
313,371,"Patata","las","I-phe",NULL,"da0000"
314,371,"Patata","hojas","I-phe",NULL,"nc0p000"
315,375,"Tomate","Aplicar","O",NULL,"vmn0000"
316,375,"Tomate","al","O",NULL,"sp000"
317,375,"Tomate","aire","B-pla",NULL,"nc0s000"
318,375,"Tomate","libre","I-pla",NULL,"aq0000"
319,375,"Tomate","y","O",NULL,"cc"
320,375,"Tomate","en","O",NULL,"sp000"
321,375,"Tomate","invernadero","B-pla",NULL,"nc0s000"
322,375,"Tomate","desde","B-aft",NULL,"sp000"
323,375,"Tomate","que","O",NULL,"cs"
324,375,"Tomate","el","O",NULL,"da0000"
325,375,"Tomate","primer","B-phe","21","ao0000"
326,375,"Tomate","brote","I-phe","21","nc0s000"
327,375,"Tomate","apical","I-phe","21","aq0000"
328,375,"Tomate","lateral","I-phe","21","nc0s000"
329,375,"Tomate","primario","I-phe","21","aq0000"
330,375,"Tomate","es","I-phe","21","vsip000"
331,375,"Tomate","visible","I-phe","21","aq0000"
332,375,"Tomate","hasta","B-bef",NULL,"sp000"
333,375,"Tomate","la","O",NULL,"da0000"
334,375,"Tomate","madurez","B-phe","89","nc0s000"
335,375,"Tomate","completa","I-phe","89","aq0000"
336,375,"Tomate","de","I-phe","89","sp000"
337,375,"Tomate","los","I-phe","89","da0000"
338,375,"Tomate","frutos","I-phe","89","nc0p000"
339,375,"Tomate","(","O","89","nc0s000"
340,375,"Tomate","tienen","I-phe","89","vmip000"
341,375,"Tomate","el","I-phe","89","da0000"
342,375,"Tomate","color","I-phe","89","nc0s000"
343,375,"Tomate","típico","I-phe","89","aq0000"
344,375,"Tomate","de","I-phe","89","sp000"
345,375,"Tomate","la","I-phe","89","da0000"
346,375,"Tomate","madurez","I-phe","89","nc0s000"
347,375,"Tomate",")","O","89","nc0s000"
433,404,"Maíz","Aplicar","O",NULL,"vmn0000"
434,404,"Maíz","en","B-dur",NULL,"sp000"
435,404,"Maíz","preemergencia","B-phe",NULL,"nc0s000"
436,404,"Maíz","del","O",NULL,"sp000"
437,404,"Maíz","cultivo","O",NULL,"nc0s000"
544,442,"Maíz","Aplicar","O",NULL,"vmn0000"
545,442,"Maíz","en","B-dur",NULL,"sp000"
546,442,"Maíz","pre","B-phe",NULL,"np00000"
547,442,"Maíz","emergencia","I-phe",NULL,"nc0s000"
548,442,"Maíz","del","O",NULL,"sp000"
549,442,"Maíz","cultivo","O",NULL,"nc0s000"
591,492,"Frutales de hueso","Aplicar","O",NULL,"vmn0000"
592,492,"Frutales de hueso","desde","B-aft",NULL,"sp000"
593,492,"Frutales de hueso","el","O",NULL,"da0000"
594,492,"Frutales de hueso","inicio","B-phe","60","nc0s000"
595,492,"Frutales de hueso","de","I-phe","60","sp000"
596,492,"Frutales de hueso","la","I-phe","60","da0000"
597,492,"Frutales de hueso","floración","I-phe","60","nc0s000"
598,492,"Frutales de hueso","hasta","B-bef",NULL,"sp000"
599,492,"Frutales de hueso","la","O",NULL,"da0000"
600,492,"Frutales de hueso","recolección","B-apa",NULL,"nc0s000"
601,492,"Frutales de hueso","o","B-xor",NULL,"cc"
602,492,"Frutales de hueso","bien","I-xor",NULL,"nc0s000"
603,492,"Frutales de hueso","después","B-aft",NULL,"rg"
604,492,"Frutales de hueso","de","O",NULL,"sp000"
605,492,"Frutales de hueso","la","O",NULL,"da0000"
606,492,"Frutales de hueso","cosecha","B-apa",NULL,"nc0s000"
607,492,"Frutales de hueso","hasta","B-bef",NULL,"sp000"
608,492,"Frutales de hueso","la","O",NULL,"da0000"
609,492,"Frutales de hueso","entrada","B-phe","00","nc0s000"
610,492,"Frutales de hueso","del","I-phe","00","sp000"
611,492,"Frutales de hueso","árbol","I-phe","00","nc0s000"
612,492,"Frutales de hueso","en","I-phe","00","sp000"
613,492,"Frutales de hueso","letargo","I-phe","00","nc0s000"
614,492,"Frutales de hueso","invernal","I-phe","00","aq0000"
686,507,"Frutales de hueso","Aplicar","O",NULL,"vmn0000"
687,507,"Frutales de hueso","desde","B-aft",NULL,"sp000"
688,507,"Frutales de hueso","el","O",NULL,"da0000"
689,507,"Frutales de hueso","el","O",NULL,"da0000"
690,507,"Frutales de hueso","letargo","B-phe","00","nc0s000"
691,507,"Frutales de hueso","hasta","B-bef",NULL,"sp000"
692,507,"Frutales de hueso","que","O",NULL,"cs"
693,507,"Frutales de hueso","los","O",NULL,"da0000"
694,507,"Frutales de hueso","frutos","B-phe","81","nc0p000"
